id_turno,dni_personal,numero_cabina,fecha,turno
TURNO00000063,55538614,C0063,2025-06-01,mañana
TURNO00000064,67798930,C0064,2025-06-01,mañana
TURNO00000065,39396753,C0065,2025-06-01,mañana
TURNO00000066,23929933,C0066,2025-06-01,mañana
TURNO00000067,63372822,C0067,2025-06-01,mañana
TURNO00000068,90314473,C0068,2025-06-01,mañana
TURNO00000069,98730030,C0069,2025-06-01,mañana
TURNO00000070,23582179,C0070,2025-06-01,mañana
TURNO00000071,71485626,C0071,2025-06-01,mañana
TURNO00000072,22011351,C0072,2025-06-01,mañana
TURNO00000073,71299405,C0073,2025-06-01,mañana
TURNO00000074,20471386,C0074,2025-06-01,mañana
TURNO00000075,50944706,C0075,2025-06-01,mañana
TURNO00000076,47170152,C0076,2025-06-01,mañana
TURNO00000077,55896683,C0077,2025-06-01,mañana
TURNO00000078,57383846,C0078,2025-06-01,mañana
TURNO00000079,68162321,C0079,2025-06-01,mañana
TURNO00000080,33447263,C0080,2025-06-01,mañana
TURNO00000081,86688161,C0081,2025-06-01,mañana
TURNO00000082,54958424,C0082,2025-06-01,mañana
TURNO00000083,69312344,C0083,2025-06-01,mañana
TURNO00000084,45083005,C0084,2025-06-01,mañana
TURNO00000085,44162414,C0085,2025-06-01,mañana
TURNO00000086,85951524,C0086,2025-06-01,mañana
TURNO00000087,24965096,C0087,2025-06-01,mañana
TURNO00000088,94824486,C0088,2025-06-01,mañana
TURNO00000089,50312202,C0089,2025-06-01,mañana
TURNO00000090,55958605,C0090,2025-06-01,mañana
TURNO00000091,65552273,C0091,2025-06-01,mañana
TURNO00000092,48356298,C0092,2025-06-01,mañana
TURNO00000093,75575041,C0093,2025-06-01,mañana
TURNO00000094,95018712,C0094,2025-06-01,mañana
TURNO00000095,14251930,C0095,2025-06-01,mañana
TURNO00000096,58416551,C0096,2025-06-01,mañana
TURNO00000097,70617416,C0097,2025-06-01,mañana
TURNO00000098,65298280,C0098,2025-06-01,mañana
TURNO00000099,80547978,C0099,2025-06-01,mañana
TURNO00000100,71064586,C0100,2025-06-01,mañana
TURNO00000101,27111474,C0001,2025-06-01,tarde
TURNO00000102,10899398,C0002,2025-06-01,tarde
TURNO00000103,48165395,C0003,2025-06-01,tarde
TURNO00000104,85379577,C0004,2025-06-01,tarde
TURNO00000105,11725702,C0005,2025-06-01,tarde
TURNO00000106,28982086,C0006,2025-06-01,tarde
TURNO00000107,50065117,C0007,2025-06-01,tarde
TURNO00000108,46628786,C0008,2025-06-01,tarde
TURNO00000109,89902009,C0009,2025-06-01,tarde
TURNO00000110,21849608,C0010,2025-06-01,tarde
TURNO00000111,68714848,C0011,2025-06-01,tarde
TURNO00000112,57905648,C0012,2025-06-01,tarde
TURNO00000113,30108651,C0013,2025-06-01,tarde
TURNO00000114,33804190,C0014,2025-06-01,tarde
TURNO00000115,64559561,C0015,2025-06-01,tarde
TURNO00000116,29192527,C0016,2025-06-01,tarde
TURNO00000117,11278310,C0017,2025-06-01,tarde
TURNO00000118,46331713,C0018,2025-06-01,tarde
TURNO00000119,59487186,C0019,2025-06-01,tarde
TURNO00000120,84668137,C0020,2025-06-01,tarde
TURNO00000121,10672634,C0021,2025-06-01,tarde
TURNO00000122,25813901,C0022,2025-06-01,tarde
TURNO00000123,83683895,C0023,2025-06-01,tarde
TURNO00000124,88115177,C0024,2025-06-01,tarde
TURNO00000125,88275566,C0025,2025-06-01,tarde
TURNO00000126,21204436,C0026,2025-06-01,tarde
TURNO00000127,21204436,C0027,2025-06-01,tarde
TURNO00000128,66850074,C0028,2025-06-01,tarde
TURNO00000129,36832313,C0029,2025-06-01,tarde
TURNO00000130,77199141,C0030,2025-06-01,tarde
TURNO00000131,37099007,C0031,2025-06-01,tarde
TURNO00000132,84852130,C0032,2025-06-01,tarde
TURNO00000133,48165395,C0033,2025-06-01,tarde
TURNO00000134,57905648,C0034,2025-06-01,tarde
TURNO00000135,50088321,C0035,2025-06-01,tarde
TURNO00000136,28705370,C0036,2025-06-01,tarde
TURNO00000137,50907071,C0037,2025-06-01,tarde
TURNO00000138,14086794,C0038,2025-06-01,tarde
TURNO00000139,18035832,C0039,2025-06-01,tarde
TURNO00000140,19320316,C0040,2025-06-01,tarde
TURNO00000141,37620615,C0041,2025-06-01,tarde
TURNO00000142,89902009,C0042,2025-06-01,tarde
TURNO00000143,28705370,C0043,2025-06-01,tarde
TURNO00000144,48258715,C0044,2025-06-01,tarde
TURNO00000145,43265658,C0045,2025-06-01,tarde
TURNO00000146,40276549,C0046,2025-06-01,tarde
TURNO00000147,33980655,C0047,2025-06-01,tarde
TURNO00000148,24965096,C0048,2025-06-01,tarde
TURNO00000149,93611531,C0049,2025-06-01,tarde
TURNO00000150,10102645,C0050,2025-06-01,tarde
TURNO00000151,18774752,C0051,2025-06-01,tarde
TURNO00000152,33372686,C0052,2025-06-01,tarde
TURNO00000153,66826410,C0053,2025-06-01,tarde
TURNO00000154,95367644,C0054,2025-06-01,tarde
TURNO00000155,99559915,C0055,2025-06-01,tarde
TURNO00000156,11278310,C0056,2025-06-01,tarde
TURNO00000157,92519254,C0057,2025-06-01,tarde
TURNO00000158,38613309,C0058,2025-06-01,tarde
TURNO00000159,57386360,C0059,2025-06-01,tarde
TURNO00000160,40153493,C0060,2025-06-01,tarde
TURNO00000161,85962993,C0061,2025-06-01,tarde
TURNO00000162,86688161,C0062,2025-06-01,tarde
TURNO00000163,85962993,C0063,2025-06-01,tarde
TURNO00000164,93538839,C0064,2025-06-01,tarde
TURNO00000165,74038931,C0065,2025-06-01,tarde
TURNO00000166,59345681,C0066,2025-06-01,tarde
TURNO00000167,71064586,C0067,2025-06-01,tarde
TURNO00000168,57905648,C0068,2025-06-01,tarde
TURNO00000169,24968100,C0069,2025-06-01,tarde
TURNO00000170,10594248,C0070,2025-06-01,tarde
TURNO00000171,72903206,C0071,2025-06-01,tarde
TURNO00000172,81929103,C0072,2025-06-01,tarde
TURNO00000173,24465960,C0073,2025-06-01,tarde
TURNO00000174,77493159,C0074,2025-06-01,tarde
TURNO00000175,61881632,C0075,2025-06-01,tarde
TURNO00000176,85951524,C0076,2025-06-01,tarde
TURNO00000177,33414660,C0077,2025-06-01,tarde
TURNO00000178,94246836,C0078,2025-06-01,tarde
TURNO00000179,15824133,C0079,2025-06-01,tarde
TURNO00000180,63284159,C0080,2025-06-01,tarde
TURNO00000181,85478877,C0081,2025-06-01,tarde
TURNO00000182,41533222,C0082,2025-06-01,tarde
TURNO00000183,47170152,C0083,2025-06-01,tarde
TURNO00000184,66826410,C0084,2025-06-01,tarde
TURNO00000185,67798930,C0085,2025-06-01,tarde
TURNO00000186,54208981,C0086,2025-06-01,tarde
TURNO00000187,59789448,C0087,2025-06-01,tarde
TURNO00000188,74038931,C0088,2025-06-01,tarde
TURNO00000189,51866978,C0089,2025-06-01,tarde
TURNO00000190,63167205,C0090,2025-06-01,tarde
TURNO00000191,24965096,C0091,2025-06-01,tarde
TURNO00000192,91734105,C0092,2025-06-01,tarde
TURNO00000193,85951524,C0093,2025-06-01,tarde
TURNO00000194,12914334,C0094,2025-06-01,tarde
TURNO00000195,18035832,C0095,2025-06-01,tarde
TURNO00000196,20132822,C0096,2025-06-01,tarde
TURNO00000197,70511967,C0097,2025-06-01,tarde
TURNO00000198,71702053,C0098,2025-06-01,tarde
TURNO00000199,29872145,C0099,2025-06-01,tarde
TURNO00000200,79030176,C0100,2025-06-01,tarde
TURNO00000201,68162321,C0001,2025-06-01,noche
TURNO00000202,80614879,C0002,2025-06-01,noche
TURNO00000203,71553770,C0003,2025-06-01,noche
TURNO00000204,44162414,C0004,2025-06-01,noche
TURNO00000205,50977595,C0005,2025-06-01,noche
TURNO00000206,18736488,C0006,2025-06-01,noche
TURNO00000207,95018712,C0007,2025-06-01,noche
TURNO00000208,48258715,C0008,2025-06-01,noche
TURNO00000209,30993550,C0009,2025-06-01,noche
TURNO00000210,46628786,C0010,2025-06-01,noche
TURNO00000211,65552273,C0011,2025-06-01,noche
TURNO00000212,37620615,C0012,2025-06-01,noche
TURNO00000213,82623986,C0013,2025-06-01,noche
TURNO00000214,31788974,C0014,2025-06-01,noche
TURNO00000215,13821572,C0015,2025-06-01,noche
TURNO00000216,77117496,C0016,2025-06-01,noche
TURNO00000217,65552273,C0017,2025-06-01,noche
TURNO00000218,10672634,C0018,2025-06-01,noche
TURNO00000219,22563677,C0019,2025-06-01,noche
TURNO00000220,95367644,C0020,2025-06-01,noche
TURNO00000221,12359656,C0021,2025-06-01,noche
TURNO00000222,70169134,C0022,2025-06-01,noche
TURNO00000223,20190243,C0023,2025-06-01,noche
TURNO00000224,73198169,C0024,2025-06-01,noche
TURNO00000225,29872145,C0025,2025-06-01,noche
TURNO00000226,54004757,C0026,2025-06-01,noche
TURNO00000227,28965254,C0027,2025-06-01,noche
TURNO00000228,31604309,C0028,2025-06-01,noche
TURNO00000229,51147587,C0029,2025-06-01,noche
TURNO00000230,50977595,C0030,2025-06-01,noche
TURNO00000231,40153493,C0031,2025-06-01,noche
TURNO00000232,54004757,C0032,2025-06-01,noche
TURNO00000233,58329582,C0033,2025-06-01,noche
TURNO00000234,60968383,C0034,2025-06-01,noche
TURNO00000235,57815644,C0035,2025-06-01,noche
TURNO00000236,51309559,C0036,2025-06-01,noche
TURNO00000237,86690512,C0037,2025-06-01,noche
TURNO00000238,91572209,C0038,2025-06-01,noche
TURNO00000239,94824486,C0039,2025-06-01,noche
TURNO00000240,26257607,C0040,2025-06-01,noche
TURNO00000241,85602609,C0041,2025-06-01,noche
TURNO00000242,92407732,C0042,2025-06-01,noche
TURNO00000243,36178076,C0043,2025-06-01,noche
TURNO00000244,11725702,C0044,2025-06-01,noche
TURNO00000245,68714848,C0045,2025-06-01,noche
TURNO00000246,42059525,C0046,2025-06-01,noche
TURNO00000247,85048582,C0047,2025-06-01,noche
TURNO00000248,99834337,C0048,2025-06-01,noche
TURNO00000249,35632986,C0049,2025-06-01,noche
TURNO00000250,36832313,C0050,2025-06-01,noche
TURNO00000251,32722784,C0051,2025-06-01,noche
TURNO00000252,73679978,C0052,2025-06-01,noche
TURNO00000253,70169134,C0053,2025-06-01,noche
TURNO00000254,12745935,C0054,2025-06-01,noche
TURNO00000255,16618483,C0055,2025-06-01,noche
TURNO00000256,32869028,C0056,2025-06-01,noche
TURNO00000257,48876368,C0057,2025-06-01,noche
TURNO00000258,16498604,C0058,2025-06-01,noche
TURNO00000259,58488284,C0059,2025-06-01,noche
TURNO00000260,30209669,C0060,2025-06-01,noche
TURNO00000261,45990926,C0061,2025-06-01,noche
TURNO00000262,67295181,C0062,2025-06-01,noche
TURNO00000263,38561587,C0063,2025-06-01,noche
TURNO00000264,48876368,C0064,2025-06-01,noche
TURNO00000265,33221160,C0065,2025-06-01,noche
TURNO00000266,51727535,C0066,2025-06-01,noche
TURNO00000267,15637342,C0067,2025-06-01,noche
TURNO00000268,21849608,C0068,2025-06-01,noche
TURNO00000269,79050668,C0069,2025-06-01,noche
TURNO00000270,52218015,C0070,2025-06-01,noche
TURNO00000271,86226565,C0071,2025-06-01,noche
TURNO00000272,94678171,C0072,2025-06-01,noche
TURNO00000273,85478877,C0073,2025-06-01,noche
TURNO00000274,55977442,C0074,2025-06-01,noche
TURNO00000275,12418274,C0075,2025-06-01,noche
TURNO00000276,41627539,C0076,2025-06-01,noche
TURNO00000277,63284159,C0077,2025-06-01,noche
TURNO00000278,12058022,C0078,2025-06-01,noche
TURNO00000279,36832313,C0079,2025-06-01,noche
TURNO00000280,33447263,C0080,2025-06-01,noche
TURNO00000281,29192527,C0081,2025-06-01,noche
TURNO00000282,51887280,C0082,2025-06-01,noche
TURNO00000283,69312344,C0083,2025-06-01,noche
TURNO00000284,77139401,C0084,2025-06-01,noche
TURNO00000285,51147587,C0085,2025-06-01,noche
TURNO00000286,50825215,C0086,2025-06-01,noche
TURNO00000287,40153493,C0087,2025-06-01,noche
TURNO00000288,60968383,C0088,2025-06-01,noche
TURNO00000289,36832313,C0089,2025-06-01,noche
TURNO00000290,67359803,C0090,2025-06-01,noche
TURNO00000291,35858010,C0091,2025-06-01,noche
TURNO00000292,47617005,C0092,2025-06-01,noche
TURNO00000293,36178076,C0093,2025-06-01,noche
TURNO00000294,90558308,C0094,2025-06-01,noche
TURNO00000295,44180174,C0095,2025-06-01,noche
TURNO00000296,42942439,C0096,2025-06-01,noche
TURNO00000297,50825215,C0097,2025-06-01,noche
TURNO00000298,45914654,C0098,2025-06-01,noche
TURNO00000299,30209669,C0099,2025-06-01,noche
TURNO00000300,70169134,C0100,2025-06-01,noche
TURNO00000301,90278252,C0001,2025-06-02,mañana
TURNO00000302,63167205,C0002,2025-06-02,mañana
TURNO00000303,22048201,C0003,2025-06-02,mañana
TURNO00000304,44164865,C0004,2025-06-02,mañana
TURNO00000305,29366327,C0005,2025-06-02,mañana
TURNO00000306,58078470,C0006,2025-06-02,mañana
TURNO00000307,86055139,C0007,2025-06-02,mañana
TURNO00000308,93343974,C0008,2025-06-02,mañana
TURNO00000309,51866978,C0009,2025-06-02,mañana
TURNO00000310,12745935,C0010,2025-06-02,mañana
TURNO00000311,63372822,C0011,2025-06-02,mañana
TURNO00000312,85048582,C0012,2025-06-02,mañana
TURNO00000313,30768159,C0013,2025-06-02,mañana
TURNO00000314,26822062,C0014,2025-06-02,mañana
TURNO00000315,46893983,C0015,2025-06-02,mañana
TURNO00000316,55977442,C0016,2025-06-02,mañana
TURNO00000317,98730030,C0017,2025-06-02,mañana
TURNO00000318,98928255,C0018,2025-06-02,mañana
TURNO00000319,44180174,C0019,2025-06-02,mañana
TURNO00000320,23058806,C0020,2025-06-02,mañana
TURNO00000321,41434886,C0021,2025-06-02,mañana
TURNO00000322,16903617,C0022,2025-06-02,mañana
TURNO00000323,43265658,C0023,2025-06-02,mañana
TURNO00000324,86690512,C0024,2025-06-02,mañana
TURNO00000325,63284159,C0025,2025-06-02,mañana
TURNO00000326,32750401,C0026,2025-06-02,mañana
TURNO00000327,55219868,C0027,2025-06-02,mañana
TURNO00000328,94376961,C0028,2025-06-02,mañana
TURNO00000329,90075903,C0029,2025-06-02,mañana
TURNO00000330,66832416,C0030,2025-06-02,mañana
TURNO00000331,62174914,C0031,2025-06-02,mañana
TURNO00000332,66832416,C0032,2025-06-02,mañana
TURNO00000333,64952516,C0033,2025-06-02,mañana
TURNO00000334,75260928,C0034,2025-06-02,mañana
TURNO00000335,80420740,C0035,2025-06-02,mañana
TURNO00000336,30826835,C0036,2025-06-02,mañana
TURNO00000337,82694304,C0037,2025-06-02,mañana
TURNO00000338,16498604,C0038,2025-06-02,mañana
TURNO00000339,18774752,C0039,2025-06-02,mañana
TURNO00000340,44006022,C0040,2025-06-02,mañana
TURNO00000341,81534376,C0041,2025-06-02,mañana
TURNO00000342,23843161,C0042,2025-06-02,mañana
TURNO00000343,92001414,C0043,2025-06-02,mañana
TURNO00000344,10797450,C0044,2025-06-02,mañana
TURNO00000345,71485626,C0045,2025-06-02,mañana
TURNO00000346,28705370,C0046,2025-06-02,mañana
TURNO00000347,34348829,C0047,2025-06-02,mañana
TURNO00000348,34373222,C0048,2025-06-02,mañana
TURNO00000349,41223089,C0049,2025-06-02,mañana
TURNO00000350,98170095,C0050,2025-06-02,mañana
TURNO00000351,31788974,C0051,2025-06-02,mañana
TURNO00000352,12359656,C0052,2025-06-02,mañana
TURNO00000353,94389348,C0053,2025-06-02,mañana
TURNO00000354,92641710,C0054,2025-06-02,mañana
TURNO00000355,66621624,C0055,2025-06-02,mañana
TURNO00000356,15215286,C0056,2025-06-02,mañana
TURNO00000357,61035257,C0057,2025-06-02,mañana
TURNO00000358,56481490,C0058,2025-06-02,mañana
TURNO00000359,29872145,C0059,2025-06-02,mañana
TURNO00000360,70169134,C0060,2025-06-02,mañana
TURNO00000361,99834337,C0061,2025-06-02,mañana
TURNO00000362,26316540,C0062,2025-06-02,mañana
TURNO00000363,99887862,C0063,2025-06-02,mañana
TURNO00000364,20649533,C0064,2025-06-02,mañana
TURNO00000365,37797687,C0065,2025-06-02,mañana
TURNO00000366,43997764,C0066,2025-06-02,mañana
TURNO00000367,18035832,C0067,2025-06-02,mañana
TURNO00000368,25813901,C0068,2025-06-02,mañana
TURNO00000369,29190163,C0069,2025-06-02,mañana
TURNO00000370,40153493,C0070,2025-06-02,mañana
TURNO00000371,86136948,C0071,2025-06-02,mañana
TURNO00000372,27111474,C0072,2025-06-02,mañana
TURNO00000373,10912608,C0073,2025-06-02,mañana
TURNO00000374,39444528,C0074,2025-06-02,mañana
TURNO00000375,56934707,C0075,2025-06-02,mañana
TURNO00000376,63284159,C0076,2025-06-02,mañana
TURNO00000377,37620615,C0077,2025-06-02,mañana
TURNO00000378,95908447,C0078,2025-06-02,mañana
TURNO00000379,19397513,C0079,2025-06-02,mañana
TURNO00000380,91075873,C0080,2025-06-02,mañana
TURNO00000381,13382042,C0081,2025-06-02,mañana
TURNO00000382,59487186,C0082,2025-06-02,mañana
TURNO00000383,63167205,C0083,2025-06-02,mañana
TURNO00000384,74816364,C0084,2025-06-02,mañana
TURNO00000385,24965096,C0085,2025-06-02,mañana
TURNO00000386,33221160,C0086,2025-06-02,mañana
TURNO00000387,45808452,C0087,2025-06-02,mañana
TURNO00000388,74905136,C0088,2025-06-02,mañana
TURNO00000389,60968383,C0089,2025-06-02,mañana
TURNO00000390,61035257,C0090,2025-06-02,mañana
TURNO00000391,80323940,C0091,2025-06-02,mañana
TURNO00000392,27906470,C0092,2025-06-02,mañana
TURNO00000393,81775019,C0093,2025-06-02,mañana
TURNO00000394,26316540,C0094,2025-06-02,mañana
TURNO00000395,44019061,C0095,2025-06-02,mañana
TURNO00000396,55693925,C0096,2025-06-02,mañana
TURNO00000397,60640154,C0097,2025-06-02,mañana
TURNO00000398,86055139,C0098,2025-06-02,mañana
TURNO00000399,82694304,C0099,2025-06-02,mañana
TURNO00000400,73679978,C0100,2025-06-02,mañana
TURNO00000401,33537439,C0001,2025-06-02,tarde
TURNO00000402,54527680,C0002,2025-06-02,tarde
TURNO00000403,83276584,C0003,2025-06-02,tarde
TURNO00000404,24968100,C0004,2025-06-02,tarde
TURNO00000405,60731253,C0005,2025-06-02,tarde
TURNO00000406,61942507,C0006,2025-06-02,tarde
TURNO00000407,60185029,C0007,2025-06-02,tarde
TURNO00000408,99887862,C0008,2025-06-02,tarde
TURNO00000409,31118171,C0009,2025-06-02,tarde
TURNO00000410,60715005,C0010,2025-06-02,tarde
TURNO00000411,76177025,C0011,2025-06-02,tarde
TURNO00000412,24038295,C0012,2025-06-02,tarde
TURNO00000413,39210523,C0013,2025-06-02,tarde
TURNO00000414,50065117,C0014,2025-06-02,tarde
TURNO00000415,47096092,C0015,2025-06-02,tarde
TURNO00000416,17365947,C0016,2025-06-02,tarde
TURNO00000417,82623986,C0017,2025-06-02,tarde
TURNO00000418,41223019,C0018,2025-06-02,tarde
TURNO00000419,47591270,C0019,2025-06-02,tarde
TURNO00000420,51887280,C0020,2025-06-02,tarde
TURNO00000421,48356298,C0021,2025-06-02,tarde
TURNO00000422,33896847,C0022,2025-06-02,tarde
TURNO00000423,47991049,C0023,2025-06-02,tarde
TURNO00000424,61942507,C0024,2025-06-02,tarde
TURNO00000425,97468765,C0025,2025-06-02,tarde
TURNO00000426,77237994,C0026,2025-06-02,tarde
TURNO00000427,50258584,C0027,2025-06-02,tarde
TURNO00000428,14191449,C0028,2025-06-02,tarde
TURNO00000429,26316540,C0029,2025-06-02,tarde
TURNO00000430,57087799,C0030,2025-06-02,tarde
TURNO00000431,75457803,C0031,2025-06-02,tarde
TURNO00000432,87895649,C0032,2025-06-02,tarde
TURNO00000433,74816364,C0033,2025-06-02,tarde
TURNO00000434,44164865,C0034,2025-06-02,tarde
TURNO00000435,81914677,C0035,2025-06-02,tarde
TURNO00000436,51147587,C0036,2025-06-02,tarde
TURNO00000437,95018712,C0037,2025-06-02,tarde
TURNO00000438,94246836,C0038,2025-06-02,tarde
TURNO00000439,93191124,C0039,2025-06-02,tarde
TURNO00000440,23582179,C0040,2025-06-02,tarde
TURNO00000441,25813901,C0041,2025-06-02,tarde
TURNO00000442,44180174,C0042,2025-06-02,tarde
TURNO00000443,61942507,C0043,2025-06-02,tarde
TURNO00000444,88891590,C0044,2025-06-02,tarde
TURNO00000445,37175790,C0045,2025-06-02,tarde
TURNO00000446,24703626,C0046,2025-06-02,tarde
TURNO00000447,35858010,C0047,2025-06-02,tarde
TURNO00000448,45482913,C0048,2025-06-02,tarde
TURNO00000449,45916467,C0049,2025-06-02,tarde
TURNO00000450,98933396,C0050,2025-06-02,tarde
TURNO00000451,27111474,C0051,2025-06-02,tarde
TURNO00000452,26421902,C0052,2025-06-02,tarde
TURNO00000453,39333353,C0053,2025-06-02,tarde
TURNO00000454,50977595,C0054,2025-06-02,tarde
TURNO00000455,93713976,C0055,2025-06-02,tarde
TURNO00000456,71553770,C0056,2025-06-02,tarde
TURNO00000457,29190163,C0057,2025-06-02,tarde
TURNO00000458,23035835,C0058,2025-06-02,tarde
TURNO00000459,22761024,C0059,2025-06-02,tarde
TURNO00000460,70370123,C0060,2025-06-02,tarde
TURNO00000461,54527680,C0061,2025-06-02,tarde
TURNO00000462,50914112,C0062,2025-06-02,tarde
TURNO00000463,24254988,C0063,2025-06-02,tarde
TURNO00000464,52901839,C0064,2025-06-02,tarde
TURNO00000465,51147587,C0065,2025-06-02,tarde
TURNO00000466,88115177,C0066,2025-06-02,tarde
TURNO00000467,75252328,C0067,2025-06-02,tarde
TURNO00000468,34373222,C0068,2025-06-02,tarde
TURNO00000469,39276848,C0069,2025-06-02,tarde
TURNO00000470,96016242,C0070,2025-06-02,tarde
TURNO00000471,78677563,C0071,2025-06-02,tarde
TURNO00000472,69312344,C0072,2025-06-02,tarde
TURNO00000473,11278310,C0073,2025-06-02,tarde
TURNO00000474,50944706,C0074,2025-06-02,tarde
TURNO00000475,94678171,C0075,2025-06-02,tarde
TURNO00000476,18736488,C0076,2025-06-02,tarde
TURNO00000477,27804516,C0077,2025-06-02,tarde
TURNO00000478,33325509,C0078,2025-06-02,tarde
TURNO00000479,92846944,C0079,2025-06-02,tarde
TURNO00000480,98170095,C0080,2025-06-02,tarde
TURNO00000481,16618483,C0081,2025-06-02,tarde
TURNO00000482,85048582,C0082,2025-06-02,tarde
TURNO00000483,90314473,C0083,2025-06-02,tarde
TURNO00000484,63372822,C0084,2025-06-02,tarde
TURNO00000485,69686691,C0085,2025-06-02,tarde
TURNO00000486,98687266,C0086,2025-06-02,tarde
TURNO00000487,51727535,C0087,2025-06-02,tarde
TURNO00000488,30473457,C0088,2025-06-02,tarde
TURNO00000489,31604309,C0089,2025-06-02,tarde
TURNO00000490,92106844,C0090,2025-06-02,tarde
TURNO00000491,17603428,C0091,2025-06-02,tarde
TURNO00000492,28982086,C0092,2025-06-02,tarde
TURNO00000493,94678171,C0093,2025-06-02,tarde
TURNO00000494,88275566,C0094,2025-06-02,tarde
TURNO00000495,37153417,C0095,2025-06-02,tarde
TURNO00000496,19113333,C0096,2025-06-02,tarde
TURNO00000497,57087799,C0097,2025-06-02,tarde
TURNO00000498,82623986,C0098,2025-06-02,tarde
TURNO00000499,90075903,C0099,2025-06-02,tarde
TURNO00000500,90652482,C0100,2025-06-02,tarde
TURNO00000501,61651880,C0001,2025-06-02,noche
TURNO00000502,45027385,C0002,2025-06-02,noche
TURNO00000503,67184325,C0003,2025-06-02,noche
TURNO00000504,85951524,C0004,2025-06-02,noche
TURNO00000505,85962993,C0005,2025-06-02,noche
TURNO00000506,95367644,C0006,2025-06-02,noche
TURNO00000507,88115177,C0007,2025-06-02,noche
TURNO00000508,94910509,C0008,2025-06-02,noche
TURNO00000509,44006022,C0009,2025-06-02,noche
TURNO00000510,64912440,C0010,2025-06-02,noche
TURNO00000511,30209669,C0011,2025-06-02,noche
TURNO00000512,77758003,C0012,2025-06-02,noche
TURNO00000513,48165395,C0013,2025-06-02,noche
TURNO00000514,30993550,C0014,2025-06-02,noche
TURNO00000515,55280909,C0015,2025-06-02,noche
TURNO00000516,80470576,C0016,2025-06-02,noche
TURNO00000517,77449071,C0017,2025-06-02,noche
TURNO00000518,37010010,C0018,2025-06-02,noche
TURNO00000519,90314473,C0019,2025-06-02,noche
TURNO00000520,59789448,C0020,2025-06-02,noche
TURNO00000521,54527680,C0021,2025-06-02,noche
